========================================
  CTT-JEPA Experiments on H100
  Started: Fri Mar 27 10:54:54 UTC 2026
========================================
[1/2] Training C-JEPA Baseline...
10:55:00.865 | INFO    (4670, __main__) | DDP: False, Rank: 0, World Size: 1, Device: cuda:0
10:55:06.687 | INFO    (4670, __main__) | Train samples: 1090000, Val samples: 545000

Epoch 1:  22%|██▏       | 119/532 [00:13<00:38, 10.61it/s, loss=0.0605, future=0.0367]
Epoch 1:  22%|██▏       | 119/532 [00:13<00:38, 10.61it/s, loss=0.0567, future=0.0344]
Epoch 1:  22%|██▏       | 119/532 [00:13<00:38, 10.61it/s, loss=0.0586, future=0.0363]
Epoch 1:  23%|██▎       | 121/532 [00:13<00:39, 10.48it/s, loss=0.0586, future=0.0363]
Epoch 1:  23%|██▎       | 121/532 [00:13<00:39, 10.48it/s, loss=0.0600, future=0.0365]
Epoch 1:  23%|██▎       | 121/532 [00:13<00:39, 10.48it/s, loss=0.0587, future=0.0362]
Epoch 1:  23%|██▎       | 123/532 [00:13<00:38, 10.53it/s, loss=0.0587, future=0.0362]
Epoch 1:  23%|██▎       | 123/532 [00:13<00:38, 10.53it/s, loss=0.0580, future=0.0358]
Epoch 1:  23%|██▎       | 123/532 [00:14<00:38, 10.53it/s, loss=0.0572, future=0.0352]
Epoch 1:  23%|██▎       | 125/532 [00:14<00:38, 10.57it/s, loss=0.0572, future=0.0352]
Epoch 1:  23%|██▎       | 125/532 [00:14<00:38, 10.57it/s, loss=0.0581, future=0.0357]
Epoch 1:  23%|██▎       | 125/532 [00:14<00:38, 10.57it/s, loss=0.0572, future=0.0350]
Epoch 1:  24%|██▍       | 127/532 [00:14<00:38, 10.49it/s, loss=0.0572, future=0.0350]
Epoch 1:  24%|██▍       | 127/532 [00:14<00:38, 10.49it/s, loss=0.0569, future=0.0354]
Epoch 1:  24%|██▍       | 127/532 [00:14<00:38, 10.49it/s, loss=0.0557, future=0.0340]
Epoch 1:  24%|██▍       | 129/532 [00:14<00:38, 10.52it/s, loss=0.0557, future=0.0340]
Epoch 1:  24%|██▍       | 129/532 [00:14<00:38, 10.52it/s, loss=0.0569, future=0.0351]
Epoch 1:  24%|██▍       | 129/532 [00:14<00:38, 10.52it/s, loss=0.0559, future=0.0350]
Epoch 1:  25%|██▍       | 131/532 [00:14<00:38, 10.53it/s, loss=0.0559, future=0.0350]
Epoch 1:  25%|██▍       | 131/532 [00:14<00:38, 10.53it/s, loss=0.0552, future=0.0340]
