11:29:42.583 | INFO    (9751, __main__) | DDP: False, Rank: 0, World Size: 1, Device: cuda:0
11:29:49.265 | INFO    (9751, __main__) | Train samples: 1090000, Val samples: 545000

Epoch 1:  18%|█▊        | 97/532 [00:08<00:26, 16.21it/s, loss=0.0647, future=0.0382]
Epoch 1:  18%|█▊        | 97/532 [00:08<00:26, 16.21it/s, loss=0.0648, future=0.0385]
Epoch 1:  18%|█▊        | 97/532 [00:08<00:26, 16.21it/s, loss=0.0635, future=0.0379]
Epoch 1:  19%|█▊        | 99/532 [00:08<00:26, 16.24it/s, loss=0.0635, future=0.0379]
Epoch 1:  19%|█▊        | 99/532 [00:08<00:26, 16.24it/s, loss=0.0625, future=0.0376]
Epoch 1:  19%|█▊        | 99/532 [00:09<00:26, 16.24it/s, loss=0.0629, future=0.0376]
Epoch 1:  19%|█▉        | 101/532 [00:09<00:26, 16.23it/s, loss=0.0629, future=0.0376]
Epoch 1:  19%|█▉        | 101/532 [00:09<00:26, 16.23it/s, loss=0.0626, future=0.0374]
Epoch 1:  19%|█▉        | 101/532 [00:09<00:26, 16.23it/s, loss=0.0614, future=0.0371]
Epoch 1:  19%|█▉        | 103/532 [00:09<00:26, 16.24it/s, loss=0.0614, future=0.0371]
Epoch 1:  19%|█▉        | 103/532 [00:09<00:26, 16.24it/s, loss=0.0605, future=0.0365]
Epoch 1:  19%|█▉        | 103/532 [00:09<00:26, 16.24it/s, loss=0.0598, future=0.0361]
Epoch 1:  20%|█▉        | 105/532 [00:09<00:26, 16.25it/s, loss=0.0598, future=0.0361]
Epoch 1:  20%|█▉        | 105/532 [00:09<00:26, 16.25it/s, loss=0.0613, future=0.0373]
Epoch 1:  20%|█▉        | 105/532 [00:09<00:26, 16.25it/s, loss=0.0596, future=0.0358]
Epoch 1:  20%|██        | 107/532 [00:09<00:26, 16.21it/s, loss=0.0596, future=0.0358]
Epoch 1:  20%|██        | 107/532 [00:09<00:26, 16.21it/s, loss=0.0600, future=0.0362]
Epoch 1:  20%|██        | 107/532 [00:09<00:26, 16.21it/s, loss=0.0596, future=0.0365]
Epoch 1:  20%|██        | 109/532 [00:09<00:26, 16.24it/s, loss=0.0596, future=0.0365]
Epoch 1:  20%|██        | 109/532 [00:09<00:26, 16.24it/s, loss=0.0601, future=0.0369]
Epoch 1:  20%|██        | 109/532 [00:09<00:26, 16.24it/s, loss=0.0593, future=0.0362]
Epoch 1:  21%|██        | 111/532 [00:09<00:25, 16.23it/s, loss=0.0593, future=0.0362]
Epoch 1:  21%|██        | 111/532 [00:09<00:25, 16.23it/s, loss=0.0584, future=0.0354]
Epoch 1:  21%|██        | 111/532 [00:09<00:25, 16.23it/s, loss=0.0579, future=0.0355]
Epoch 1:  21%|██        | 113/532 [00:09<00:25, 16.21it/s, loss=0.0579, future=0.0355]
Epoch 1:  21%|██        | 113/532 [00:09<00:25, 16.21it/s, loss=0.0564, future=0.0349]
Epoch 1:  21%|██        | 113/532 [00:09<00:25, 16.21it/s, loss=0.0590, future=0.0363]
Epoch 1:  22%|██▏       | 115/532 [00:09<00:25, 16.23it/s, loss=0.0590, future=0.0363]
Epoch 1:  22%|██▏       | 115/532 [00:09<00:25, 16.23it/s, loss=0.0571, future=0.0352]
Epoch 1:  22%|██▏       | 115/532 [00:10<00:25, 16.23it/s, loss=0.0569, future=0.0354]
Epoch 1:  22%|██▏       | 117/532 [00:10<00:25, 16.22it/s, loss=0.0569, future=0.0354]
Epoch 1:  22%|██▏       | 117/532 [00:10<00:25, 16.22it/s, loss=0.0576, future=0.0356]
Epoch 1:  22%|██▏       | 117/532 [00:10<00:25, 16.22it/s, loss=0.0573, future=0.0353]
Epoch 1:  22%|██▏       | 119/532 [00:10<00:25, 16.23it/s, loss=0.0573, future=0.0353]
Epoch 1:  22%|██▏       | 119/532 [00:10<00:25, 16.23it/s, loss=0.0576, future=0.0353]
Epoch 1:  22%|██▏       | 119/532 [00:10<00:25, 16.23it/s, loss=0.0574, future=0.0356]
Epoch 1:  23%|██▎       | 121/532 [00:10<00:25, 16.22it/s, loss=0.0574, future=0.0356]
Epoch 1:  23%|██▎       | 121/532 [00:10<00:25, 16.22it/s, loss=0.0571, future=0.0352]
Epoch 1:  23%|██▎       | 121/532 [00:10<00:25, 16.22it/s, loss=0.0561, future=0.0347]
Epoch 1:  23%|██▎       | 123/532 [00:10<00:25, 16.19it/s, loss=0.0561, future=0.0347]
Epoch 1:  23%|██▎       | 123/532 [00:10<00:25, 16.19it/s, loss=0.0550, future=0.0343]
Epoch 1:  23%|██▎       | 123/532 [00:10<00:25, 16.19it/s, loss=0.0557, future=0.0344]
Epoch 1:  23%|██▎       | 125/532 [00:10<00:25, 16.16it/s, loss=0.0557, future=0.0344]
Epoch 1:  23%|██▎       | 125/532 [00:10<00:25, 16.16it/s, loss=0.0557, future=0.0349]
Epoch 1:  23%|██▎       | 125/532 [00:10<00:25, 16.16it/s, loss=0.0552, future=0.0348]
Epoch 1:  24%|██▍       | 127/532 [00:10<00:25, 16.18it/s, loss=0.0552, future=0.0348]
Epoch 1:  24%|██▍       | 127/532 [00:10<00:25, 16.18it/s, loss=0.0563, future=0.0350]
Epoch 1:  24%|██▍       | 127/532 [00:10<00:25, 16.18it/s, loss=0.0554, future=0.0350]
Epoch 1:  24%|██▍       | 129/532 [00:10<00:24, 16.21it/s, loss=0.0554, future=0.0350]
Epoch 1:  24%|██▍       | 129/532 [00:10<00:24, 16.21it/s, loss=0.0546, future=0.0342]
Epoch 1:  24%|██▍       | 129/532 [00:10<00:24, 16.21it/s, loss=0.0551, future=0.0343]
Epoch 1:  25%|██▍       | 131/532 [00:10<00:24, 16.21it/s, loss=0.0551, future=0.0343]
Epoch 1:  25%|██▍       | 131/532 [00:10<00:24, 16.21it/s, loss=0.0537, future=0.0336]
Epoch 1:  25%|██▍       | 131/532 [00:10<00:24, 16.21it/s, loss=0.0559, future=0.0351]
Epoch 1:  25%|██▌       | 133/532 [00:10<00:24, 16.20it/s, loss=0.0559, future=0.0351]
Epoch 1:  25%|██▌       | 133/532 [00:11<00:24, 16.20it/s, loss=0.0554, future=0.0342]
Epoch 1:  25%|██▌       | 133/532 [00:11<00:24, 16.20it/s, loss=0.0538, future=0.0336]
Epoch 1:  25%|██▌       | 135/532 [00:11<00:24, 16.22it/s, loss=0.0538, future=0.0336]
Epoch 1:  25%|██▌       | 135/532 [00:11<00:24, 16.22it/s, loss=0.0538, future=0.0339]
Epoch 1:  25%|██▌       | 135/532 [00:11<00:24, 16.22it/s, loss=0.0547, future=0.0345]
